Channel_Label,Well_Label,Timestamp,Maximum_Amplitude,Minimum_Amplitude,Peak_to_peak_Amplitude
41,35,198.1316,8.43023255813954e-06,-1.41860465116279e-05,2.26162790697674e-05
41,35,249.70608,9.18604651162791e-06,-1.28488372093023e-05,2.20348837209302e-05
41,35,280.68072,4.18604651162791e-06,-8.8953488372093e-06,1.30813953488372e-05
41,35,281.54152,5.75581395348837e-06,-8.43023255813954e-06,1.41860465116279e-05
41,35,283.25296,4.88372093023256e-06,-7.96511627906977e-06,1.28488372093023e-05
41,35,285.88656,4.88372093023256e-06,-8.25581395348837e-06,1.31395348837209e-05
41,35,287.63288,5.46511627906977e-06,-1.07558139534884e-05,1.62209302325581e-05
42,35,46.85472,5.52325581395349e-06,-8.08139534883721e-06,1.36046511627907e-05
42,35,106.37944,7.73255813953488e-06,-4.47674418604651e-06,1.22093023255814e-05
42,35,291.01624,3.83720930232558e-06,-7.38372093023256e-06,1.12209302325581e-05
13,36,2.61752,1.16279069767442e-05,-8.6046511627907e-06,2.02325581395349e-05
13,36,31.07672,3.8953488372093e-06,-1.16860465116279e-05,1.55813953488372e-05
13,36,31.20832,3.83720930232558e-06,-1.19186046511628e-05,1.57558139534884e-05
13,36,31.66304,3.43023255813954e-06,-1.17441860465116e-05,1.51744186046512e-05
13,36,47.5564,2.84883720930233e-06,-1.1453488372093e-05,1.43023255813954e-05
13,36,147.12064,9.94186046511628e-06,-5.75581395348837e-06,1.56976744186047e-05
22,36,31.03104,5.87209302325581e-06,-1.52906976744186e-05,2.11627906976744e-05
22,36,31.2432,7.38372093023256e-06,-1.63372093023256e-05,2.37209302325581e-05
22,36,31.67992,8.8953488372093e-06,-1.48837209302326e-05,2.37790697674419e-05
22,36,32.58256,5.98837209302326e-06,-1.3546511627907e-05,1.95348837209302e-05
22,36,46.83472,6.74418604651163e-06,-1.86627906976744e-05,2.5406976744186e-05
22,36,47.0856,6.33720930232558e-06,-1.21511627906977e-05,1.84883720930233e-05
22,36,47.57832,8.54651162790698e-06,-1.38953488372093e-05,2.24418604651163e-05
22,36,63.28808,1.02906976744186e-05,-2.34883720930233e-05,3.37790697674419e-05
22,36,107.47304,8.54651162790698e-06,-2.13953488372093e-05,2.99418604651163e-05
